,user_id,total_events,Baja_usuario,events_last_month,total_months,rate_events,age,gender,height,seniors_exercise_level,traits_language_code,os_name,device_type
1001909,NElQnwDQjKdaT3wzh2003cfRsu72,123,1,122.0,1,123.0,63.0,1,159.0,2.0,2,1,1
1002032,NEu7BgoZlGXvXtA1KnKuZFbVTSw1,185,1,184.0,1,185.0,72.0,1,157.0,2.0,2,2,2
1002217,NF6CfgtKemMBo0gcSyTJvL9cLka2,117,1,116.0,1,117.0,65.0,1,176.0,2.0,2,1,1
1002334,NFK5Kf9eO0aQYH9ODNFuEVcBqnV2,249,0,247.0,1,249.0,60.0,1,164.0,2.0,1,2,2
1002583,NFPQs6m1xSa187mO9C3vvqDnahn1,26,1,25.0,1,26.0,75.0,1,147.0,1.0,1,1,1
1002609,NFWsDpbjkwNTxSKFgMSZKeQerhb2,36,1,35.0,1,36.0,65.0,1,170.0,1.0,1,1,1
1002645,NFiTiehVRQVpD90WQwrH2a0Kf413,58,1,57.0,1,58.0,54.0,1,167.0,1.0,1,1,1
1002703,NG4kkcUSCWTa1cYzBk4Wg8mt2TG2,27,1,26.0,1,27.0,62.0,1,160.0,1.0,1,1,1
1002730,NGdlZxxuLiTnlHNaHPfdHXVz5yJ2,19,1,18.0,1,19.0,59.0,1,157.0,1.0,1,1,1
1002749,NGdyRcW5lrbtAFPd7V2GB7KcsbA3,89,1,9.0,3,29.666666666666668,58.0,1,164.0,1.0,1,1,1
1002838,NGjfX3rvuFPUBMAl3UBNUvLskfH2,84,1,83.0,1,84.0,62.0,1,169.0,1.0,1,1,1
1002922,NGsZ9nJxJMUCnKsNQDxRMEIEWp62,50,1,49.0,1,50.0,63.0,1,156.0,3.0,1,2,2
1002972,NGtWv9MCoTc8ZVyWtygkRS0VId73,79,1,78.0,1,79.0,60.0,1,170.0,1.0,2,1,1
1003051,NH37NQNiyWSsgBw04fawhaxhWUx1,44,1,43.0,1,44.0,55.0,1,156.0,2.0,1,2,2
1003095,NHBuOjxUDchovuAxCH2w5wHJDw13,40,1,39.0,1,40.0,60.0,1,168.0,1.0,1,1,1
1003135,NHIChKGlLCOnZv7PErJSZtL4NUp1,141,1,140.0,1,141.0,70.0,1,157.0,2.0,1,2,2
1003276,NICEKWHBrgTzqABDm7zaExklhcC2,20,1,19.0,1,20.0,61.0,1,170.0,1.0,1,1,1
1003296,NILWiWxMelSV9Rw3m0LbHm3Fx1r1,24,1,23.0,1,24.0,61.0,1,171.0,1.0,1,2,2
1003320,NINQOcCU4BXfv4VrPgvM50jojEc2,52,1,51.0,1,52.0,61.0,1,164.0,1.0,1,1,1
1003372,NIOhRAYoO5YHwOzzFYeqPzBWM0A2,95,1,94.0,1,95.0,55.0,1,165.0,1.0,1,2,2
1003467,NISHEFMWysYVfCECLu71HDZ0X1b2,30,1,29.0,1,30.0,56.0,1,171.0,3.0,1,1,1
1003497,NIXgUEQ08Bg6KSTANHL9MePufN13,174,1,70.0,3,58.0,56.0,1,159.0,1.0,1,1,1
1003671,NIkcxAKHsdhe006E046UClXunqW2,114,1,113.0,1,114.0,64.0,1,172.0,2.0,1,1,1
1003785,NJ0ZDfAncmaSSbK42aE16zE7pfN2,59,1,31.0,5,11.8,61.0,1,157.0,1.0,1,2,2
1003844,NJ19CUXwD6gp4h61JMhWPejnMXf2,41,1,40.0,1,41.0,55.0,1,169.0,1.0,1,1,1
1003885,NJ1A6uPVohSPsvM2f68v9NVBuKm2,151,1,150.0,1,151.0,61.0,1,160.0,1.0,1,1,1
1004036,NJ3Ttqe0Z0Zlk0bpbhdfXB7QR8H2,42,1,41.0,1,42.0,52.0,1,168.0,1.0,1,1,1
1004078,NJC3qh6eBMS7av26Rh2tR6FN6fB3,177,0,14.0,2,88.5,64.0,1,159.0,1.0,1,1,1
1004255,NJGoU5DGSOYgDGZBnotYbuvbVhd2,129,1,128.0,1,129.0,60.0,1,160.0,2.0,1,1,1
1004384,NJTayBYhdreVQmSJ5lgk4Hupsgx1,30,1,29.0,1,30.0,53.0,1,153.0,3.0,1,2,2
1004414,NJqWqBEEfOfmRpdSsXh1TcMO9ug1,125,0,124.0,1,125.0,61.0,1,161.0,2.0,1,3,2
1004539,NJrvgpzgiKhvyEdNg2PZvjq59y62,39,1,38.0,1,39.0,50.0,1,165.0,1.0,1,2,2
1004578,NJzcTach08XiZKlV13frCR0FBmz2,32,1,31.0,1,32.0,80.0,1,152.0,1.0,1,1,1
1004610,NLJOhfVs9WejybuvfUeGvvwegz83,113,1,112.0,1,113.0,68.0,1,168.0,2.0,1,1,1
1004723,NMNmlZsMH5W6RvqC9exsnZ7x84m2,730,0,729.0,1,730.0,57.0,0,169.0,3.0,1,2,2
1005453,NMWV2ULYsLfIYTs4yP8IN85I7ug2,66,1,65.0,1,66.0,57.0,1,161.0,1.0,1,2,2
1005519,NMzBO5HbbPOiaxxaguO0GJ2GF8m1,107,1,106.0,1,107.0,64.0,1,159.0,1.0,1,1,1
1005626,NMzvSM6Hboe0v9UeOs0hQSnjuzI3,64,1,24.0,2,32.0,75.0,0,170.0,2.0,1,2,2
1005690,NN5muPvZfFW6mL5XAKSfqcp1MWC3,207,0,9.0,4,51.75,70.0,1,170.0,2.0,2,2,2
1005897,NN9veFSVITUJgyHKBO44bTIjLjH2,146,0,64.0,3,48.66666666666666,60.0,1,154.0,2.0,2,1,1
1006043,NNO6AfmCt9ZcpSDQRS5kKv2XMbn1,205,0,202.0,1,205.0,70.0,1,158.0,2.0,1,2,2
1006248,NNUZUTVOQnY0zub3f62zGoevboB2,126,0,125.0,1,126.0,66.0,1,160.0,2.0,2,1,1
1006374,NNi3SfIY35h7gjObXK6MEatF9w42,32,1,31.0,1,32.0,55.0,1,158.0,1.0,1,1,1
1006406,NO68wm6iWCcmjOFiY20f8yfli3f1,90,1,36.0,2,45.0,60.0,1,170.0,2.0,1,1,1
1006496,NO8vpITYohdi0DjMkD8bPlnEQwR2,173,1,172.0,1,173.0,60.0,1,162.0,1.0,1,2,2
1006669,NOBT7C87dbO5KdkuC8bNRJRGUpS2,22,1,21.0,1,22.0,59.0,1,171.0,3.0,1,1,1
1006691,NOSQYFIFTodrf3ISTsZauvO0Kuj2,211,0,210.0,1,211.0,63.0,1,168.0,1.0,1,2,2
1006902,NOUvcSmhCYXN8EqGdd1duhCNIic2,265,0,262.0,1,265.0,62.0,1,160.0,2.0,1,2,2
1007167,NOe0C174bYft9qb84mWXa6mCKd22,23,1,22.0,1,23.0,66.0,1,150.0,1.0,1,1,1
1007190,NP0Pm3EdhscNfiXP7b3PFDxk7Zx2,47,1,46.0,1,47.0,65.0,1,160.0,2.0,1,3,2
1007237,NPKc9zFJY2cCYUVDvvlFtuvJRkv1,101,1,100.0,1,101.0,60.0,1,169.0,1.0,1,1,1
1007338,NQ2TuuMjPCVwVozAlxrhTeRgwpw2,122,1,121.0,1,122.0,57.0,1,155.0,2.0,1,2,2
1007460,NQ3tAcIK8LTOFQYVDKB2e8Ce1OJ3,178,0,177.0,1,178.0,66.0,0,183.0,2.0,1,2,2
1007638,NQ43bxewQjU8el0pB2QZJZUykxs2,37,1,36.0,1,37.0,71.0,1,160.0,1.0,1,1,1
1007675,NQ9mpdAEK7SrPRcSfdQ0Qe6S8Wm2,254,0,253.0,1,254.0,70.0,1,150.0,1.0,1,2,2
1007929,NQD068KTnIa9KoTxXZFkiNxnKnd2,164,1,54.0,2,82.0,64.0,1,166.0,2.0,1,2,2
1008093,NQLI6BDRJRTYT2ffDwcLZmncoy42,31,1,30.0,1,31.0,57.0,1,171.0,1.0,1,2,2
1008124,NQYoZq1NMke6W0CBdtWmQcHQUZt1,129,1,128.0,1,129.0,60.0,0,170.0,2.0,1,1,1
1008253,NQbdSsqDZASHbqEMiWg7EEUltKo1,123,1,122.0,1,123.0,79.0,1,150.0,1.0,1,1,1
1008376,NQpjtJXdUdUbhIr6MkQHdJL4rUK2,1412,1,1411.0,1,1412.0,61.0,1,150.0,2.0,1,2,2
1009788,NR0EyZbBqpQGUszSMzQmM5iD7Q22,160,0,14.0,2,80.0,76.0,1,162.0,2.0,2,2,2
1009948,NR3Zm0z3qbRhHA9stM44UtFX2yP2,91,1,90.0,1,91.0,78.0,1,162.0,2.0,1,2,2
1010039,NRAaNzBlgVbjmK7cMJEnX1l8r5e2,109,0,6.0,3,36.333333333333336,61.0,1,157.0,1.0,1,2,2
1010148,NRH4rj4QmNdlU4skMqSb6g2H1IF2,108,1,107.0,1,108.0,61.0,1,168.0,2.0,1,2,2
1010256,NRNK5KXXHfeiT7JUozeqQmZASFs2,185,1,184.0,1,185.0,54.0,1,159.0,1.0,1,1,1
1010441,NRbEGacQ0qgf7OEA9uY2EzJG4CC3,99,1,98.0,1,99.0,69.0,1,167.0,1.0,1,1,1
1010540,NRhrdg7LWahcksbMS2VTYsL302A2,73,1,72.0,1,73.0,51.0,1,160.0,1.0,1,1,1
1010613,NRmbkIlMZdVyTR20eUhoL61WzWG3,46,1,45.0,1,46.0,62.0,1,158.0,2.0,1,1,1
1010659,NRmeFpbXeBfwJnBFzksrtCnlSyH2,178,0,177.0,1,178.0,60.0,1,170.0,2.0,2,1,1
1010837,NS9wpcUXfRZJsCbuZc1HDayQAez2,25,1,24.0,1,25.0,63.0,1,167.0,3.0,2,2,2
1010862,NSzBulZHCBWNz1mN0MofebGUedn2,17,1,16.0,1,17.0,60.0,0,170.0,3.0,2,1,1
1010879,NT3Z09jo1rQbxsUY7zlwRuXoCsy2,31,1,30.0,1,31.0,62.0,1,163.0,2.0,1,1,1
1010910,NTyvjIPAHgNpc8Ayn0uVL2uy1ue2,39,1,38.0,1,39.0,58.0,1,169.0,1.0,1,2,2
1010949,NU23zZ09S3fjrraDzhDFFhiBFOm2,176,0,35.0,6,29.33333333333333,74.0,1,157.0,1.0,1,1,1
1011125,NUACNlQhjBR4dpL6c9qywTwJ2p22,42,1,41.0,1,42.0,57.0,1,162.0,1.0,1,1,1
1011167,NUSWpLTvZfedQxZYwpdOWjNdHYt2,86,0,85.0,1,86.0,69.0,1,171.0,1.0,2,1,1
1011253,NV3lTM9PjegPu2DwhsynORLW3Kf2,245,0,244.0,1,245.0,77.0,1,156.0,2.0,1,2,2
1011498,NV68pWW1SAR2cpzq36IuXLHCDHk1,108,1,107.0,1,108.0,55.0,1,155.0,2.0,1,1,1
1011606,NVGBjd7DAsU4IgjGa8xSliWRuNB2,108,1,107.0,1,108.0,66.0,1,160.0,1.0,1,2,2
1011714,NVKEIou52qgE3Z9fqGUl6hfjTvq1,132,1,16.0,2,66.0,63.0,1,168.0,2.0,1,2,2
1011846,NVsck0nVjhN0Pv5OBGtYSKj6MXD3,26,1,25.0,1,26.0,61.0,1,162.0,1.0,1,1,1
1011872,NW8QSGdA6TQ81nDBhEfKtp856Ch1,156,1,155.0,1,156.0,62.0,1,173.0,2.0,1,2,2
1012028,NWf0G8enGTU6GEHDfIR4k3BlMgH3,38,1,37.0,1,38.0,58.0,1,169.0,1.0,1,3,2
1012066,NWkRC7wP99eEyAzTDrE8dse1wbC2,178,0,177.0,1,178.0,63.0,1,160.0,3.0,1,2,2
1012244,NWoX5imUkGPumDttAe24WPZ5LXe2,35,1,34.0,1,35.0,64.0,1,158.0,1.0,1,1,1
1012279,NWtV9ealSDVFIDE7VRKdADjmHMu1,46,1,45.0,1,46.0,64.0,1,162.0,3.0,1,2,2
1012325,NX0LXSuKMASs9cAyxbdH45VnBLA2,223,0,222.0,1,223.0,63.0,1,157.0,2.0,1,3,2
1012548,NX67HoDCKBbeeDJQt6Jq1wPKQdN2,54,1,11.0,5,10.8,59.0,1,160.0,1.0,1,1,1
1012602,NXZTHisl5XMwTrlH2T3bO4ilR0F2,35,1,34.0,1,35.0,69.0,1,160.0,1.0,1,1,1
1012637,NXs7hXFiaDalMgC8KpJkxtIHWS82,60,1,59.0,1,60.0,56.0,1,158.0,1.0,1,2,2
1012697,NY8BayvcthTNoIdFwVi8eTVlTLw1,128,1,127.0,1,128.0,59.0,0,169.0,1.0,1,1,1
1012825,NY8P4Wms4OaDFF76Z0b3e6a0tlU2,90,1,89.0,1,90.0,59.0,1,157.0,2.0,1,1,1
1012915,NYBe8gW1K7ggy3hbaanp3eistjH2,178,1,177.0,1,178.0,72.0,1,129.0,2.0,2,2,2
1013093,NYfFnEA7oseKQ28tiPY1lL1qpDn1,38,1,37.0,1,38.0,61.0,1,165.0,1.0,1,2,2
1013131,NYltBNLlPpXXGyYXQDH4F1LJKg82,30,1,29.0,1,30.0,56.0,1,161.0,1.0,1,1,1
1013161,NYo3j3OTkZXHHijE6kFdwlf0ob73,140,0,6.0,3,46.66666666666666,69.0,1,159.0,2.0,1,2,2
1013301,NYrLDjWTQmW2PWWFvAJFZXzWx6u1,36,1,35.0,1,36.0,72.0,1,163.0,1.0,1,1,1
1013337,NZ0YTdnAD4OMbv7yeGuF2yLHUFv1,124,1,123.0,1,124.0,72.0,1,161.0,2.0,1,2,2
1013461,NZ4jWgCU3rUqul8IdzZfwPTz5mt2,142,1,141.0,1,142.0,67.0,1,156.0,2.0,1,2,2
1013603,NZB1t6Vnx0RyRFcGd1ypUjl74GC2,222,1,221.0,1,222.0,61.0,1,170.0,2.0,1,2,2
1013825,NZPiYQHXENQIgcxcpuJdXEqzeKr1,197,0,196.0,1,197.0,68.0,1,170.0,1.0,2,2,2
